Mood,Time
Distracted,19:35:50
Distracted,19:35:51
Distracted,19:35:51
Distracted,19:35:51
Distracted,19:35:52
Distracted,19:35:52
Distracted,19:35:52
Distracted,19:35:53
Distracted,19:35:53
Distracted,19:35:53
Distracted,19:35:54
Distracted,19:35:54
Distracted,19:35:54
Distracted,19:35:54
Neutral,19:35:54
Distracted,19:35:54
Neutral,19:35:54
Distracted,19:35:55
Neutral,19:35:55
Distracted,19:35:55
Distracted,19:35:55
Neutral,19:35:55
Neutral,19:35:55
Neutral,19:35:56
Neutral,19:35:56
Neutral,19:35:56
Distracted,19:35:56
Distracted,19:35:56
Neutral,19:35:56
Neutral,19:35:56
Neutral,19:35:57
Distracted,19:35:57
Distracted,19:35:57
Neutral,19:35:57
Distracted,19:35:57
Distracted,19:35:57
Neutral,19:35:58
Distracted,19:35:58
Neutral,19:35:58
Distracted,19:35:58
Distracted,19:35:58
Distracted,19:35:59
Distracted,19:35:59
Distracted,19:35:59
Distracted,19:35:59
Distracted,19:35:59
Distracted,19:35:59
Distracted,19:35:59
Distracted,19:36:00
Distracted,19:36:00
Neutral,19:36:00
Neutral,19:36:00
Distracted,19:36:00
Distracted,19:36:00
Distracted,19:36:00
Distracted,19:36:00
Neutral,19:36:01
Neutral,19:36:01
Neutral,19:36:01
Distracted,19:36:01
Distracted,19:36:01
Distracted,19:36:01
Distracted,19:36:01
Distracted,19:36:01
Neutral,19:36:02
Distracted,19:36:02
Neutral,19:36:02
Neutral,19:36:02
Distracted,19:36:02
Distracted,19:36:02
Neutral,19:36:05
Neutral,19:36:06
Neutral,19:36:06
Neutral,19:36:06
Neutral,19:36:06
Neutral,19:36:06
Distracted,19:36:06
Neutral,19:36:07
Distracted,19:36:07
Distracted,19:36:07
Neutral,19:36:07
Neutral,19:36:07
Distracted,19:36:07
Neutral,19:36:07
Neutral,19:36:08
Neutral,19:36:08
Distracted,19:36:08
Distracted,19:36:08
Distracted,19:36:08
Distracted,19:36:08
Distracted,19:36:09
Distracted,19:36:09
Distracted,19:36:09
Distracted,19:36:09
Distracted,19:36:09
Distracted,19:36:09
Distracted,19:36:10
Distracted,19:36:10
Distracted,19:36:10
Distracted,19:36:10
Distracted,19:36:10
Distracted,19:36:10
Distracted,19:36:11
Distracted,19:36:11
Distracted,19:36:11
Distracted,19:36:11
Distracted,19:36:11
Distracted,19:36:11
Distracted,19:36:11
Distracted,19:36:12
Distracted,19:36:12
Distracted,19:36:12
Distracted,19:36:12
Distracted,19:36:12
Distracted,19:36:12
Distracted,19:36:13
Distracted,19:36:13
Neutral,19:36:13
Distracted,19:36:13
Neutral,19:36:13
Neutral,19:36:13
Neutral,19:36:14
Neutral,19:36:14
Neutral,19:36:14
Distracted,19:36:14
Neutral,19:36:14
Distracted,19:36:14
Distracted,19:36:15
Neutral,19:36:15
Distracted,19:36:15
Distracted,19:36:15
Distracted,19:36:15
Distracted,19:36:15
Distracted,19:36:15
Distracted,19:36:15
Distracted,19:36:16
Distracted,19:36:16
Distracted,19:36:16
Distracted,19:36:16
Distracted,19:36:16
Neutral,19:36:18
Neutral,19:36:18
Neutral,19:36:18
Neutral,19:36:18
Neutral,19:36:18
Distracted,19:36:18
Distracted,19:36:19
Distracted,19:36:19
Distracted,19:36:19
Distracted,19:36:19
Distracted,19:36:19
Neutral,19:36:19
Distracted,19:36:20
Distracted,19:36:20
Distracted,19:36:20
Distracted,19:36:20
Distracted,19:36:20
Distracted,19:36:20
Distracted,19:36:21
Neutral,19:36:21
Neutral,19:36:21
Neutral,19:36:21
Distracted,19:36:21
Neutral,19:36:21
Neutral,19:36:22
Distracted,19:36:22
Neutral,19:36:22
Neutral,19:36:22
Neutral,19:36:22
Neutral,19:36:22
Distracted,19:36:23
Distracted,19:36:23
Neutral,19:36:23
Neutral,19:36:23
Neutral,19:36:23
Neutral,19:36:23
Neutral,19:36:23
Neutral,19:36:24
Neutral,19:36:24
Neutral,19:36:24
Distracted,19:36:24
Neutral,19:36:24
Neutral,19:36:24
Distracted,19:36:25
Distracted,19:36:25
Neutral,19:36:25
Neutral,19:36:25
Neutral,19:36:25
Neutral,19:36:25
Neutral,19:36:26
Neutral,19:36:26
Neutral,19:36:26
Neutral,19:36:26
Neutral,19:36:26
Neutral,19:36:26
Neutral,19:36:26
Distracted,19:36:26
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:27
Neutral,19:36:28
Neutral,19:36:28
Neutral,19:36:28
Neutral,19:36:29
Neutral,19:36:32
Neutral,19:36:33
Neutral,19:36:33
Neutral,19:36:33
Neutral,19:36:33
Neutral,19:36:33
Neutral,19:36:33
Neutral,19:36:33
Neutral,19:36:34
Neutral,19:36:34
Distracted,19:36:34
Distracted,19:36:34
Neutral,19:36:34
Distracted,19:36:34
Distracted,19:36:35
Distracted,19:36:35
Distracted,19:36:35
Distracted,19:36:35
Distracted,19:36:35
Distracted,19:36:35
Distracted,19:36:36
Distracted,19:36:36
Distracted,19:36:36
Distracted,19:36:36
Distracted,19:36:36
Distracted,19:36:36
Distracted,19:36:37
Distracted,19:36:37
Distracted,19:36:37
Distracted,19:36:37
Distracted,19:36:37
Distracted,19:36:37
Distracted,19:36:38
Distracted,19:36:38
Distracted,19:36:38
Distracted,19:36:38
Distracted,19:36:38
Distracted,19:36:38
Distracted,19:36:38
Distracted,19:36:39
Distracted,19:36:39
Distracted,19:36:39
Distracted,19:36:39
Distracted,19:36:39
Distracted,19:36:39
Distracted,19:36:40
Distracted,19:36:40
Distracted,19:36:40
Distracted,19:36:40
Distracted,19:36:40
Distracted,19:36:40
Distracted,19:36:41
Distracted,19:36:41
Distracted,19:36:41
Distracted,19:36:41
Distracted,19:36:41
Distracted,19:36:41
Distracted,19:36:41
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:42
Distracted,19:36:43
Distracted,19:36:43
Distracted,19:36:43
Distracted,19:36:43
Distracted,19:36:43
Distracted,19:36:43
Distracted,19:36:43
Distracted,19:36:43
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:46
Distracted,19:36:46
Neutral,19:36:46
Distracted,19:36:46
Neutral,19:36:46
Neutral,19:36:46
Distracted,19:36:46
Distracted,19:36:46
Distracted,19:36:47
Distracted,19:36:47
Distracted,19:36:47
Distracted,19:36:47
Neutral,19:36:47
Neutral,19:36:47
Distracted,19:36:47
Neutral,19:36:47
Neutral,19:36:47
Distracted,19:36:48
Distracted,19:36:48
Distracted,19:36:48
Distracted,19:36:48
Neutral,19:36:48
Neutral,19:36:48
Neutral,19:36:48
Distracted,19:36:48
Distracted,19:36:48
Neutral,19:36:49
Distracted,19:36:49
Distracted,19:36:49
Neutral,19:36:49
Neutral,19:36:49
Neutral,19:36:49
Distracted,19:36:49
Distracted,19:36:49
Neutral,19:36:49
Neutral,19:36:50
Distracted,19:36:50
Neutral,19:36:50
Distracted,19:36:50
Distracted,19:36:50
Distracted,19:36:50
Neutral,19:36:50
Distracted,19:36:50
Distracted,19:36:50
Distracted,19:36:51
Distracted,19:36:51
Neutral,19:36:51
Neutral,19:36:52
Neutral,19:36:53
Distracted,19:36:53
Distracted,19:36:53
Distracted,19:36:53
Neutral,19:36:53
Distracted,19:36:53
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Neutral,19:36:59
Distracted,19:37:00
Distracted,19:37:00
Distracted,19:37:00
Neutral,19:37:00
Distracted,19:37:00
Distracted,19:37:00
Distracted,19:37:01
Distracted,19:37:01
Neutral,19:37:01
Distracted,19:37:01
Distracted,19:37:01
Distracted,19:37:01
Distracted,19:37:01
Distracted,19:37:02
Neutral,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:03
Distracted,19:37:03
Neutral,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Neutral,19:37:03
Distracted,19:37:04
Neutral,19:37:04
Distracted,19:37:04
Neutral,19:37:04
Neutral,19:37:04
Distracted,19:37:04
Distracted,19:37:04
Neutral,19:37:04
Neutral,19:37:05
Neutral,19:37:05
Neutral,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Neutral,19:37:06
Distracted,19:37:06
Distracted,19:37:06
Neutral,19:37:06
Neutral,19:37:06
Distracted,19:37:06
Neutral,19:37:06
Distracted,19:37:06
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:08
Distracted,19:37:08
Distracted,19:37:08
Neutral,19:37:08
Distracted,19:37:08
Distracted,19:37:08
Neutral,19:37:08
Neutral,19:37:08
Distracted,19:37:08
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:12
Distracted,19:37:12
Distracted,19:37:12
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:16
Neutral,19:37:16
Neutral,19:37:16
Neutral,19:37:16
Neutral,19:37:16
Distracted,19:37:16
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:18
Neutral,19:37:18
Neutral,19:37:18
Neutral,19:37:18
Distracted,19:37:18
Neutral,19:37:19
Neutral,19:37:19
